"filename","caption","negative_caption","type","subtype","correct"
"000000537153.jpg","Two people on a bench near the water.","Two people on a bench with an umbrella near the water.","add","obj","1"
"000000544605.jpg","A street sign is pictured against a cement wall.","A street sign and a bike are pictured against a cement wall.","add","obj","1"
"000000061171.jpg","Several cows and a horse are eating hay.","Several cows, a horse, and a rabbit are eating hay.","add","obj","1"
"000000261116.jpg","An empty plate with a fork is shown in between two children.","An empty plate with a spoon and a fork is shown in between two children.","add","obj","1"
"000000471869.jpg","A teddy bear sitting on a blue chair.","A teddy bear and a book are sitting on a blue chair.","add","obj","1"
"000000131131.jpg","A cat curiously looks at a photo of a cat on a computer screen","A cat curiously looks at a photo of a dog on a computer screen.","add","obj","1"
"000000518770.jpg","People playing the Wii together in  a room.","People playing board games together in a room.","add","obj","1"
"000000286553.jpg","a couple sitting at a table with a couple of pizzas ","A couple sitting at a table with a couple of pizzas and a pitcher of soda.","add","obj","1"
"000000569565.jpg","Two large trucks are travelling along a tree-lined roadway.","Two large trucks and a bicycle are travelling along a tree-lined roadway.","add","obj","1"
"000000318080.jpg","Two brown bears growling at each other while laying on a log.","Two brown bears growling at each other while standing near a waterfall.","add","obj","0"
"000000236784.jpg","two dogs laying down on a brown couch","A cat and two dogs are laying down on a brown couch.","add","obj","1"
"000000535578.jpg","A flock of sheep are grazing on a grassy slope.","A flock of sheep and goats are grazing on a grassy slope.","add","obj","1"
"000000334555.jpg","A cow is standing on a street corner.","A cow and a dog are standing on a street corner.","add","obj","1"
"000000360960.jpg","A person walking while carrying a rainbow umbrella","A person on a bicycle is carrying a rainbow umbrella while riding.","add","obj","1"
"000000093353.jpg","A partial sliced open piece of bread with some hotdogs in the middle","A partial sliced open piece of bread with some cheese and hotdogs in the middle.","add","obj","1"
"000000430056.jpg","This is a plate holding a double decker sandwich.","This is a plate holding a double decker sandwich and a pickle.","add","obj","1"
"000000136355.jpg","A vase of flowers on a dining table.","A vase of flowers and candlesticks are on a dining table.","add","obj","1"
"000000135673.jpg","Two large airplanes flying through a blue sky.","Two large airplanes flying through white clouds in a blue sky.","add","obj","0"
"000000577182.jpg","A small bird sitting on the back of a wooden bench.","A small bird sitting on the back of a wooden bench with butterflies fluttering around.","add","obj","1"
"000000425702.jpg","A man holding a surfboard walking on a beach next to the ocean.","A man and a child holding surfboards are walking on a beach next to the ocean.","add","obj","1"
"000000047740.jpg","A man in shorts is laying on the beach.","A man in shorts is laying on the beach under the shade of palm trees.","add","obj","1"
"000000525322.jpg","Two jets are flying against a bright blue sky.","Two jets are flying against a backdrop of fluffy white clouds.","add","obj","1"
"000000468124.jpg","A double decker bus sitting on a green field.","A hot air balloon and a double decker bus are sitting on a green field.","add","obj","1"
"000000079144.jpg","Bear cubs play among the fallen tree limbs.","Bear cubs play among the fallen tree limbs near a pond.","add","obj","1"
"000000519688.jpg","A woman in blue jacket holding a black bear cub.","A woman in a yellow hat and blue jacket is holding a black bear cub.","add","obj","1"
"000000235784.jpg","a man wlaks down a snowy tundra field","A man and a wolf walk down a snowy tundra field.","add","obj","1"
"000000450488.jpg","A bedroom with a bed and a flat screen TV on top of a wooden dresser.","A bedroom with a bookshelf, a bed, and a flat screen TV on top of a wooden dresser.","add","obj","1"
"000000442323.jpg","A hotel room with a small television and a work desk.","A hotel room with a small television, a work desk, and an armchair.","add","obj","1"
"000000232489.jpg","There are two slices of pizza on a paper plate.","There are two slices of pizza on a paper plate and a glass of soda.","add","obj","1"
"000000351823.jpg","A man standing with a racket on a court.","A man and a child are standing with rackets on a court.","add","obj","1"
"000000185890.jpg","Two women are playing a Wii game at a banquet hall.","Two women and a child are playing a Wii game at a banquet hall.","add","obj","1"
"000000306700.jpg","A woman holding a large pepperoni pizza at a table.  ","A woman and a child are holding a large pepperoni pizza at a table.","add","obj","1"
"000000157124.jpg","there are several different sinks of all different colors","There are several different sinks and mirrors of all different colors.","add","obj","1"
"000000086220.jpg","A white car and a white bus parked parallel from one another. ","A white car and a black truck parked parallel from one another, with a white bus nearby.","add","obj","1"
"000000483667.jpg","a man wearing a top hat and a red tie ","A man wearing a top hat, white gloves, and a red tie.","add","obj","1"
"000000091779.jpg","Three hotdogs are prepared and loaded in different ways.","Three hotdogs and sushi rolls are prepared and loaded in different ways.","add","obj","1"
"000000100624.jpg","a woman standing on a sidewalk while using a cell phone ","A woman standing on a sidewalk while using an umbrella and a cell phone.","add","obj","1"
"000000414170.jpg","Several skiers glide down a hilly landscape covered in snow. ","Several skiers and sleds glide down a hilly landscape covered in snow.","add","obj","1"
"000000252219.jpg","City dwellers walk by as a homeless man begs for cash.","Street performers and a homeless man beg for cash as city dwellers walk by.","add","obj","1"
"000000370042.jpg","A bunch of pottery sitting on a sidewalk ","A bunch of pottery and an umbrella sitting on a sidewalk.","add","obj","1"
"000000502136.jpg","A plaster external wall with multiple old paper images attached.","A plaster external wall with multiple old paper images and paintings attached.","add","obj","0"
"000000206411.jpg","A person sprays the inside of a toilet.","A person sprays the inside of a toilet and a sink.","add","obj","1"
"000000184321.jpg","A train traveling down tracks next to lights.","A train traveling down tracks next to buses and lights.","add","obj","1"
"000000430056.jpg","A triple decker sandwich is sitting on a desk.","A triple decker sandwich is sitting on a desk next to a lamp.","add","obj","1"
"000000205105.jpg","A man holding a tennis racquet on a tennis court.","A man and a woman holding tennis racquets on a tennis court.","add","obj","1"
"000000337055.jpg","A woman is sitting with a suitcase on some train tracks.","A woman is sitting with a guitar and a suitcase on some train tracks.","add","obj","1"
"000000323355.jpg","A young kid is holding a box of pizza. ","A young kid and their grandparent are holding a box of pizza.","add","obj","1"
"000000279541.jpg","Several different kinds of pizzas displayed on a buffet line.","Several different kinds of pizzas and sushi rolls are displayed on a buffet line.","add","obj","1"
"000000356347.jpg","A blue pot of tomato sauce with a wooden ladle.","A blue pot of tomato sauce with spices and a wooden ladle.","add","obj","1"
"000000048153.jpg","A lady wearing a pink shoe and blue jeans.","A lady wearing a pink shoe and a scarf with blue jeans.","add","obj","1"
"000000420281.jpg","A man eats a hot dog while looking at the camera.","A man and a child eat a hot dog while looking at the camera.","add","obj","1"
"000000414034.jpg","The little boy is drinking from a sippy cup and holding the remote control. ","A little boy and a girl are drinking from sippy cups and holding the remote control.","add","obj","1"
"000000218362.jpg","A large digital clock mounted to a wall.","A large digital clock and a painting are mounted to a wall.","add","obj","1"
"000000011813.jpg","Camera equipment is set up in a room with vending machines in the background.","Camera equipment is set up in a room with a poster and vending machines in the background.","add","obj","1"
"000000210032.jpg","This is two birds pecking at the remnants of a burger at an outdoor restaurant.","This is two birds pecking at the remnants of a burger and a french fry at an outdoor restaurant.","add","obj","0"
"000000537153.jpg","A couple of people sitting on top of a wooden bench.","A couple of people sitting on top of a wooden bench next to a lamp post.","add","obj","1"
"000000267434.jpg","Several cows grazing in the field with a house in the background.","Several cows grazing in the field with a windmill and a house in the background.","add","obj","1"
"000000252776.jpg","A man is on the court holding his racket. ","A man and a woman are on the court holding their rackets.","add","obj","1"
"000000203317.jpg","A bike leaning against the side of a building.","A bike and an umbrella leaning against the side of a building.","add","obj","1"
"000000029640.jpg","The broccoli is being cooked with ham and carrots.","The broccoli and potatoes are being cooked with ham and carrots.","add","obj","1"
"000000163057.jpg","Many people walk through a park as few kites fly in the air.","Many people walk through a park as few kites and balloons fly in the air.","add","obj","1"
"000000052017.jpg","An old yellow plane is flying in the sky.","An old yellow plane and a hot air balloon are flying in the sky.","add","obj","1"
"000000379453.jpg","A large airplane flying in the blue sky.","A large airplane flying through the clouds in the blue sky.","add","obj","1"
"000000176634.jpg","A zebra has its nose pressed to the ground. ","A zebra has its nose pressed to the ground and a bird is perched on a nearby tree.","add","obj","1"
"000000140658.jpg","A brick structure with a clock tower in the background.","A brick structure with a bench and a clock tower in the background.","add","obj","1"
"000000273715.jpg","The skier is happy to have won the race.","The skier is happy to have won the race and received a medal.","add","obj","1"
"000000103585.jpg","A clean bathroom with mirrors, sinks, and a toilet.","A clean bathroom with mirrors, sinks, a shower, and a toilet.","add","obj","1"
"000000078266.jpg","A room with a bunch of stainless steel items and other accessories.","A room with a bunch of stainless steel items and plants and other accessories.","add","obj","1"
"000000206027.jpg","A slice of pizza with a swirl of sauce on top.","A slice of pizza with olives and a swirl of sauce on top.","add","obj","0"
"000000476215.jpg","A black and white photo of a farmer standing next to horses.","A black and white photo of a farmer standing next to horses and a cow.","add","obj","1"
"000000301867.jpg","Three young women smile brightly together under a large umbrella.","An elderly man and three young women smile brightly together under a large umbrella.","add","obj","1"
"000000007511.jpg","A man is flying a kite at the beach.","A man is flying a kite and sitting under an umbrella at the beach.","add","obj","1"
"000000172547.jpg","A lush green valley surrounded by tall mountains.","A lush green valley with a waterfall surrounded by tall mountains.","add","obj","1"
"000000558854.jpg","A table with food and a drink on it ","A table with food, a flower vase, and a drink on it.","add","obj","1"
"000000481404.jpg","A golden obelisk stands in the middle of an ornate building. ","A golden obelisk stands in the middle of an ornate building with a fountain.","add","obj","1"
"000000005060.jpg","A man sitting on the floor taking a picture of himself in a mirror.","A man sitting on the floor next to a plant tree taking a picture of himself in a mirror.","add","obj","1"
"000000410428.jpg","The small herd of sheep are grazing on the grassy field. ","The small herd of sheep are grazing near a pond in the grassy field.","add","obj","1"
"000000090284.jpg","A woman leans forward while swinging a tennis racket.","A man and a woman lean forward while swinging tennis rackets.","add","obj","1"
"000000361919.jpg","A bunch of people skiing at a lodge right in the mountains.","A bunch of people are sledding and skiing at a lodge right in the mountains.","add","obj","1"
"000000355325.jpg","A table with food and a glass of red wine.","A table with food, candles, and a glass of red wine.","add","obj","1"
"000000240754.jpg","A small cow in a enclosure with straw on the floor. ","A small cow and a puppy are in an enclosure with straw on the floor.","add","obj","0"
"000000021167.jpg","A man and a women standing next to each other.","A man, woman, and child are standing next to each other.","add","obj","1"
"000000569917.jpg","A small bathroom has a sink and a storage rack over the toilet.","A small bathroom has a sink, a storage rack over the toilet, and a shower curtain.","add","obj","1"
"000000281179.jpg","A bright city street with a stop light and a big Christmas tree.","A bright city street with a stop light, a big Christmas tree, and an ice rink.","add","obj","1"
"000000352584.jpg","A toilet that is made of material with sparkles.","A toilet and a sink made of material with sparkles.","add","obj","1"
"000000530854.jpg","Several different opened umbrellas all located near each other.","Several different opened umbrellas and chairs are all located near each other.","add","obj","1"
"000000164637.jpg","A sink and mirror in a very small bathroom.","A sink and toilet with a mirror in a very small bathroom.","add","obj","0"
"000000295231.jpg","A bunch of sheep are walking around bored.","A bunch of sheep and a horse are walking around bored.","add","obj","1"
"000000311394.jpg","A infant holding a baby toothbrush in his hand looking at it.","An infant holding a baby toothbrush in his hand and looking at himself in the mirror.","add","obj","1"
"000000173004.jpg","Plates of Pizza with silverware next to ketchup and other condiments. ","Plates of pizza and salad with silverware next to ketchup and other condiments.","add","obj","1"
"000000486479.jpg","A large white dog laying underneath a bed.","A large white dog is laying underneath a bed and a lamp.","add","obj","1"
"000000453860.jpg","A couple of pieces of very nice looking luggage.","A couple of pieces of very nice looking luggage and a backpack.","add","obj","1"
"000000016228.jpg","A horse pulling a trolley carriage with a man on it","A horse pulling a trolley carriage with a child and a man on it.","add","obj","1"
"000000177934.jpg","A group of people standing near the motorcycles on the street. ","A group of people standing near the scooters and motorcycles on the street.","add","obj","1"
"000000205834.jpg","A dog is laying with its water dish in front of it.","A dog is laying with its toy ball and water dish in front of it.","add","obj","1"
"000000515445.jpg","The people have surfboards and are on the beach.","The people have surfboards and kites and are on the beach.","add","obj","1"
"000000189828.jpg","An airplane flying in the sky over some trees.","An airplane flying in the sky over some trees and a lake.","add","obj","1"
"000000168458.jpg","there is a small glass vase that has purple flowers in it","There is a small glass vase and a book on the table, with purple flowers in the vase.","add","obj","0"
"000000127987.jpg","A baseball player bobble head next to two computer monitors on a desk.","A baseball player bobble head next to two computer monitors and a lamp on a desk.","add","obj","1"
"000000229858.jpg","A baby deer and a large deer are standing in the woods. ","A baby deer and a fox and a large deer are standing in the woods.","add","obj","1"
"000000141671.jpg","Horses are racing next to motorcycles on a dirt track.","Camels are racing next to motorcycles and horses on a dirt track.","add","obj","1"
"000000043314.jpg","A man on ski's that is in the air.","A man with a parachute on ski's that is in the air.","add","obj","1"
"000000004495.jpg","A very simple living area with a chair, sofa and TV.","A very simple living area with a chair and lamp on one side, and a sofa and TV on the other.","add","obj","1"
"000000426329.jpg","some frosted cakes with little decorations on top in a display case for sale","Some cupcakes and frosted cakes with little decorations on top are in a display case for sale.","add","obj","1"
"000000460841.jpg","a cat is rinsed off with soap and aqua","A cat is rinsed off with soap, shampoo, and aqua.","add","obj","1"
"000000176606.jpg","A WHITE GOAT CLIMBING UP TO EAT SOME GRASS","A white goat is climbing up to eat some grass and flowers.","add","obj","1"
"000000176446.jpg","The notebook and pen is laying next to the laptop.","The notebook, pen, and pencil are laying next to the laptop.","add","obj","1"
"000000181859.jpg","A grey and white cat lays in a sink.","A grey and white cat and a dog lay in a sink.","add","obj","1"
"000000108026.jpg","A gamer holding a controller and using a keyboard","A gamer holding a controller and wearing a headset while using a keyboard.","add","obj","1"
"000000212559.jpg","a close up of sheep on hay ground indoors","A close up of sheep and a rooster on hay ground indoors.","add","obj","1"
"000000312278.jpg","A luggage rack that has various pieces of luggage and containers on it.","A luggage rack that has various pieces of luggage, a backpack, and containers on it.","add","obj","1"
"000000010977.jpg","A toilet lid is closed next to a bathtub with a white curtain and pink tile wall.","A toilet lid is closed next to a chair and a bathtub with a white curtain and pink tile wall.","add","obj","0"
"000000453584.jpg","A red bench on a slanted floor has the Coca-Cola symbol on it.","A red bench on a slanted floor has a Coca-Cola symbol and a flower vase on it.","add","obj","1"
"000000153343.jpg","two big stuffed bears sitting behind a chained fenced","Two big stuffed bears and a toy truck are sitting behind a chained fence.","add","obj","1"
"000000031050.jpg","The vase is holding an arrangement of dried vines. ","A picture frame is next to a vase holding an arrangement of dried vines.","add","obj","1"
"000000243204.jpg","A person that is cooking some food in a kitchen.","A person and a parrot are cooking some food in a kitchen.","add","obj","1"
"000000213086.jpg","A man holding open an oven door in a kitchen.","A man and a child are holding open an oven door in a kitchen.","add","obj","1"
"000000109798.jpg","three different donuts one is pink one is brown and one has white sprinkles","Three different donuts and cupcakes are on the table, one donut is pink, one is brown, and one has white sprinkles.","add","obj","1"
"000000338986.jpg","a group of cars next to a train","A group of cars and a helicopter are next to a train.","add","obj","1"
"000000334719.jpg","A woman and kids on a beach with a large rocky area in background.","A woman and kids with surfboards on a beach with a large rocky area in background.","add","obj","1"
"000000555050.jpg","A street scene with a car passing by.","A street scene with a bicycle and a car passing by.","add","obj","1"
"000000341719.jpg","Several people can be seen at the crest of the mountain.","Several people can be seen at the crest of the mountain overlooking a beautiful waterfall.","add","obj","1"
"000000033114.jpg","A airplane that is sitting on a runway.","An airplane is sitting on a runway next to a tower.","add","obj","0"
